"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"16" "Broncos D/ST" "3.01-16.23" 19.99 2.82 1.2 0.8 0.06 0.26 "#21" 16.23 3.01 6.61 43.6921 5 0 333.948 4 0 8.5
"11" "Steelers D/ST" "3.84-15.66" 18.73 2.86 1.38 0.58 0.02 0.26 "#28" 15.66 3.84 5.91 34.9281 5 0 327.396 4 0 8.38
"4" "Packers D/ST" "1.43-15.97" 22.29 2.78 1.07 0.87 0.07 0.26 "#32" 15.97 1.43 7.27 52.8529 5 0 345.908 4 0 8.36
"17" "Browns D/ST" "1.95-16.47" 20.94 2.42 1.36 0.62 0.02 0.32 "#11" 16.47 1.95 7.26 52.7076 5 0 338.888 4 0 8.34
"2" "Jets D/ST" "4.33-14.41" 15.78 2.58 1.1 0.72 0.02 0.18 "#24" 14.41 4.33 5.04 25.4016 4 1 312.056 4 0 8.34
"9" "Bears D/ST" "4.08-14.54" 15.82 2.43 0.85 0.75 0.06 0.26 "#32" 14.54 4.08 5.23 27.3529 4 1 312.264 4 0 8.31
"2" "Redskins D/ST" "2.66-14.82" 21.72 2.12 1.36 0.7 0.04 0.32 "#9" 14.82 2.66 6.08 36.9664 5 0 342.944 4 0 8.24
"3" "Bears D/ST" "3.72-14.46" 16.01 2.44 1.09 0.49 0.02 0.26 "#31" 14.46 3.72 5.37 28.8369 4 1 313.252 4 0 8.2
"7" "Colts D/ST" "1.91-15.61" 20.87 2.51 1.13 0.76 0.04 0.3 "#32" 15.61 1.91 6.85 46.9225 5 0 338.524 4 0 8.17
"2" "Vikings D/ST" "2.99-16.13" 18.67 2.35 1.34 0.8 0.04 0.24 "#15" 16.13 2.99 6.57 43.1649 5 0 327.084 4 0 8.15
"4" "Jaguars D/ST" "4.01-14.65" 15.29 2.5 1.06 0.61 0.02 0.21 "#29" 14.65 4.01 5.32 28.3024 4 1 309.508 4 0 8.14
"1" "Steelers D/ST" "3.28-16.28" 18.21 2.46 1.16 0.82 0.02 0.28 "#30" 16.28 3.28 6.5 42.25 5 0 324.692 4 0 8.14
"8" "Patriots D/ST" "3.08-16.16" 18.51 2.79 1.26 0.64 0.02 0.25 "#32" 16.16 3.08 6.54 42.7716 5 0 326.252 4 0 8.13
"1" "Rams D/ST" "3.44-15.00" 20.04 2.72 1.18 0.8 0.04 0.22 "#21" 15 3.44 5.78 33.4084 5 0 334.208 4 0 8.08
"7" "Rams D/ST" "3.25-13.31" 22.79 2.2 1.34 0.74 0.07 0.26 "#27" 13.31 3.25 5.03 25.3009 5 0 348.508 4 0 8.06
"3" "Texans D/ST" "2.57-14.63" 22.06 2.56 0.95 0.79 0.04 0.32 "#23" 14.63 2.57 6.03 36.3609 5 0 344.712 4 0 8.04
"14" "Seahawks D/ST" "3.95-14.11" 20.57 2.8 1.08 0.86 0.02 0.22 "#20" 14.11 3.95 5.08 25.8064 5 0 336.964 4 0 8.04
"6" "Vikings D/ST" "3.70-14.88" 18.58 2.78 1.18 0.86 0.04 0.18 "#31" 14.88 3.7 5.59 31.2481 5 0 326.616 4 0 8.02
"1" "Jets D/ST" "0.99-16.83" 21.84 2.3 1.09 0.8 0 0.32 "#13" 16.83 0.99 7.92 62.7264 5 0 343.568 4 0 8
"1" "Saints D/ST" "2.89-14.39" 22.48 2.3 1.02 0.94 0.04 0.28 "#10" 14.39 2.89 5.75 33.0625 5 0 346.896 4 0 7.98
"6" "Bears D/ST" "3.67-14.19" 16.98 2.3 0.75 0.79 0.01 0.26 "#24" 14.19 3.67 5.26 27.6676 4 1 318.296 4 0 7.96
"8" "Eagles D/ST" "3.87-13.25" 17.11 2.46 1.04 0.53 0.05 0.21 "#28" 13.25 3.87 4.69 21.9961 4 1 318.972 4 0 7.96
"8" "Steelers D/ST" "3.14-14.30" 16.43 2.43 1.14 0.47 0.02 0.21 "#30" 14.3 3.14 5.58 31.1364 4 1 315.436 4 0 7.95
"13" "Patriots D/ST" "3.31-15.43" 19.32 2.5 1.06 0.84 0.04 0.26 "#20" 15.43 3.31 6.06 36.7236 5 0 330.464 4 0 7.94
"16" "Jaguars D/ST" "1.21-16.43" 21.19 2.48 0.86 0.76 0.08 0.34 "#24" 16.43 1.21 7.61 57.9121 5 0 340.188 4 0 7.92
"8" "Bears D/ST" "2.32-16.04" 17.71 2.7 0.79 0.89 0.02 0.3 "#29" 16.04 2.32 6.86 47.0596 5 0 322.092 4 0 7.9
"13" "Bills D/ST" "2.73-15.61" 18.71 2.4 0.98 0.76 0.04 0.32 "#24" 15.61 2.73 6.44 41.4736 5 0 327.292 4 0 7.88
"17" "Bills D/ST" "2.73-15.61" 18.71 2.4 0.98 0.76 0.04 0.32 "#24" 15.61 2.73 6.44 41.4736 5 0 327.292 4 0 7.88
"13" "Dolphins D/ST" "3.19-15.17" 19.6 2.68 1.06 0.68 0.02 0.28 "#32" 15.17 3.19 5.99 35.8801 5 0 331.92 4 0 7.88
"17" "Dolphins D/ST" "3.19-15.17" 19.6 2.68 1.06 0.68 0.02 0.28 "#32" 15.17 3.19 5.99 35.8801 5 0 331.92 4 0 7.88
"4" "Seahawks D/ST" "4.29-13.39" 15.66 2.24 0.94 0.67 0.02 0.23 "#31" 13.39 4.29 4.55 20.7025 4 1 311.432 4 0 7.88
"2" "Bears D/ST" "1.92-16.08" 19.47 2.38 1 0.78 0.06 0.3 "#18" 16.08 1.92 7.08 50.1264 5 0 331.244 4 0 7.86
"13" "Packers D/ST" "2.03-16.61" 18.92 2.57 1.32 0.66 0 0.22 "#31" 16.61 2.03 7.29 53.1441 5 0 328.384 4 0 7.85
"14" "Jaguars D/ST" "2.22-14.86" 20.79 2.63 1.02 0.74 0.06 0.26 "#26" 14.86 2.22 6.32 39.9424 5 0 338.108 4 0 7.83
"4" "Rams D/ST" "1.28-15.34" 22.92 2.5 1.2 0.63 0.02 0.27 "#20" 15.34 1.28 7.03 49.4209 5 0 349.184 4 0 7.82
"9" "Cowboys D/ST" "2.22-15.42" 19.22 2.75 1.01 0.86 0.02 0.21 "#26" 15.42 2.22 6.6 43.56 5 0 329.944 4 0 7.79
"16" "Dolphins D/ST" "2.92-13.50" 22.62 2.18 1.02 0.68 0.08 0.34 "#28" 13.5 2.92 5.29 27.9841 5 0 347.624 4 0 7.78
"11" "Ravens D/ST" "3.03-15.03" 20.36 2.54 1.14 0.84 0.04 0.2 "#16" 15.03 3.03 6 36 5 0 335.872 4 0 7.78
"7" "Chargers D/ST" "1.86-15.06" 21.68 2.46 1.02 0.78 0.06 0.26 "#26" 15.06 1.86 6.6 43.56 5 0 342.736 4 0 7.74
"11" "Bengals D/ST" "3.42-13.72" 21.42 2.56 1.1 0.74 0.02 0.24 "#11" 13.72 3.42 5.15 26.5225 5 0 341.384 4 0 7.72
"5" "Panthers D/ST" "3.73-13.83" 19.18 2.1 1.3 0.56 0.05 0.3 "#23" 13.83 3.73 5.05 25.5025 5 0 329.736 4 0 7.72
"17" "Texans D/ST" "3.32-14.78" 18.16 2.67 1.28 0.72 0.04 0.16 "#28" 14.78 3.32 5.73 32.8329 5 0 324.432 4 0 7.71
"5" "49ers D/ST" "3.00-13.78" 21.45 2.58 0.92 0.77 0.02 0.28 "#31" 13.78 3 5.39 29.0521 5 0 341.54 4 0 7.68
"12" "Redskins D/ST" "3.64-13.54" 21.72 2.5 1.02 0.76 0.02 0.26 "#25" 13.54 3.64 4.95 24.5025 5 0 342.944 4 0 7.66
"14" "Steelers D/ST" "3.59-14.57" 18.52 2.5 0.94 0.74 0.06 0.28 "#21" 14.57 3.59 5.49 30.1401 5 0 326.304 4 0 7.66
"12" "Bengals D/ST" "3.67-15.73" 17.59 2.88 1.22 0.66 0.06 0.14 "#30" 15.73 3.67 6.03 36.3609 5 0 321.468 4 0 7.6
"16" "Bengals D/ST" "3.67-15.73" 17.59 2.88 1.22 0.66 0.06 0.14 "#30" 15.73 3.67 6.03 36.3609 5 0 321.468 4 0 7.6
"2" "Bengals D/ST" "2.91-14.19" 19.99 2.4 1.14 0.66 0.02 0.26 "#11" 14.19 2.91 5.64 31.8096 5 0 333.948 4 0 7.6
"8" "Texans D/ST" "2.05-14.87" 21.19 2.95 0.89 0.71 0 0.24 "#24" 14.87 2.05 6.41 41.0881 5 0 340.188 4 0 7.59
"12" "Patriots D/ST" "3.86-13.94" 18.4 3.04 0.74 0.88 0.1 0.18 "#29" 13.94 3.86 5.04 25.4016 5 0 325.68 4 0 7.56
"17" "Patriots D/ST" "3.86-13.94" 18.4 3.04 0.74 0.88 0.1 0.18 "#29" 13.94 3.86 5.04 25.4016 5 0 325.68 4 0 7.56
"1" "Titans D/ST" "3.59-14.83" 17.91 2.76 0.86 0.78 0.04 0.24 "#24" 14.83 3.59 5.62 31.5844 5 0 323.132 4 0 7.56
"6" "Packers D/ST" "1.53-16.15" 23.83 2.56 1.52 0.9 0.03 0.18 "#27" 16.15 1.53 7.31 53.4361 5 0 353.916 5 -1 7.54
"1" "Patriots D/ST" "2.39-13.99" 21.84 2.42 1.12 0.7 0.02 0.24 "#14" 13.99 2.39 5.8 33.64 5 0 343.568 4 0 7.54
"3" "Chiefs D/ST" "1.66-13.94" 22.72 2.41 1.07 0.66 0.04 0.26 "#27" 13.94 1.66 6.14 37.6996 5 0 348.144 4 0 7.51
"5" "Rams D/ST" "2.54-13.94" 20.34 2.14 1.26 0.71 0.04 0.22 "#18" 13.94 2.54 5.7 32.49 5 0 335.768 4 0 7.48
"10" "Cowboys D/ST" "1.82-15.62" 20 2.38 0.9 0.72 0.02 0.3 "#19" 15.62 1.82 6.9 47.61 5 0 334 4 0 7.46
"14" "Cowboys D/ST" "1.82-15.62" 20 2.38 0.9 0.72 0.02 0.3 "#19" 15.62 1.82 6.9 47.61 5 0 334 4 0 7.46
"15" "Ravens D/ST" "2.48-13.78" 22.43 1.94 1.26 0.76 0.02 0.24 "#10" 13.78 2.48 5.65 31.9225 5 0 346.636 4 0 7.46
"4" "Chargers D/ST" "0.96-16.42" 24.07 3.22 1.34 0.55 0.03 0.23 "#27" 16.42 0.96 7.73 59.7529 5 0 355.164 5 -1 7.44
"6" "Rams D/ST" "2.86-13.60" 21.09 2.1 1.3 0.61 0.1 0.22 "#17" 13.6 2.86 5.37 28.8369 5 0 339.668 4 0 7.44
"15" "Texans D/ST" "2.86-14.38" 19.59 2.47 0.84 1.06 0.02 0.18 "#29" 14.38 2.86 5.76 33.1776 5 0 331.868 4 0 7.39
"6" "Panthers D/ST" "1.69-13.67" 22.14 2.31 1.01 0.6 0.02 0.3 "#22" 13.67 1.69 5.99 35.8801 5 0 345.128 4 0 7.37
"16" "Colts D/ST" "1.93-14.23" 21.03 2.24 1.18 0.76 0.02 0.2 "#23" 14.23 1.93 6.15 37.8225 5 0 339.356 4 0 7.36
"12" "Texans D/ST" "2.76-13.10" 22.11 2.43 0.88 0.98 0.06 0.18 "#26" 13.1 2.76 5.17 26.7289 5 0 344.972 4 0 7.35
"10" "Browns D/ST" "0.52-16.56" 23.87 1.96 1.37 0.62 0 0.4 "#7" 16.56 0.52 8.02 64.3204 5 0 354.124 5 -1 7.34
"5" "Patriots D/ST" "1.59-15.93" 23.08 2.8 1.45 0.88 0.02 0.14 "#9" 15.93 1.59 7.17 51.4089 5 0 350.016 5 -1 7.34
"3" "Panthers D/ST" "2.08-14.36" 20.15 2.03 1 0.72 0.05 0.29 "#16" 14.36 2.08 6.14 37.6996 5 0 334.78 4 0 7.31
"7" "Eagles D/ST" "2.12-14.40" 21.05 2.56 1.08 0.54 0.06 0.23 "#8" 14.4 2.12 6.14 37.6996 5 0 339.46 4 0 7.3
"2" "Raiders D/ST" "1.81-13.99" 20.89 2.5 0.86 0.7 0 0.28 "#17" 13.99 1.81 6.09 37.0881 5 0 338.628 4 0 7.3
"8" "Rams D/ST" "3.06-12.56" 22.42 2.71 1.1 0.51 0.02 0.22 "#15" 12.56 3.06 4.75 22.5625 5 0 346.584 4 0 7.29
"7" "Cowboys D/ST" "1.60-14.26" 21.94 3.05 0.73 0.92 0.04 0.14 "#22" 14.26 1.6 6.33 40.0689 5 0 344.088 4 0 7.27
"5" "Titans D/ST" "2.59-15.03" 19.65 2.61 0.73 0.86 0.07 0.22 "#32" 15.03 2.59 6.22 38.6884 5 0 332.18 4 0 7.25
"15" "Colts D/ST" "1.35-15.39" 24.29 2.15 1.18 0.7 0.02 0.38 "#25" 15.39 1.35 7.02 49.2804 5 0 356.308 5 -1 7.23
"9" "Panthers D/ST" "1.05-14.65" 25.83 2.47 1.17 0.88 0.02 0.27 "#10" 14.65 1.05 6.8 46.24 5 0 364.316 5 -1 7.23
"5" "Bengals D/ST" "3.70-13.00" 19.21 2.21 1.08 0.97 0.04 0.14 "#24" 13 3.7 4.65 21.6225 5 0 329.892 4 0 7.23
"9" "Broncos D/ST" "2.04-13.22" 22.69 2.84 1.23 0.78 0 0.06 "#14" 13.22 2.04 5.59 31.2481 5 0 347.988 4 0 7.22
"3" "Browns D/ST" "2.86-13.58" 20.76 2.78 0.77 0.73 0.02 0.23 "#29" 13.58 2.86 5.36 28.7296 5 0 337.952 4 0 7.2
"9" "Chiefs D/ST" "3.13-13.51" 19.57 2.46 0.94 0.54 0.07 0.27 "#30" 13.51 3.13 5.19 26.9361 5 0 331.764 4 0 7.18
"8" "Colts D/ST" "1.60-13.62" 22.76 2.18 0.92 0.84 0.02 0.24 "#21" 13.62 1.6 6.01 36.1201 5 0 348.352 4 0 7.18
"17" "Rams D/ST" "3.40-12.90" 21.03 2.3 1.18 0.72 0.06 0.16 "#27" 12.9 3.4 4.75 22.5625 5 0 339.356 4 0 7.18
"8" "Redskins D/ST" "2.53-13.07" 21.81 2.71 0.93 0.71 0.02 0.19 "#23" 13.07 2.53 5.27 27.7729 5 0 343.412 4 0 7.17
"10" "Packers D/ST" "2.52-12.86" 22.48 2.4 0.86 0.7 0.04 0.26 "#24" 12.86 2.52 5.17 26.7289 5 0 346.896 4 0 7.16
"2" "Cowboys D/ST" "1.69-14.73" 20.48 2.27 1.34 0.72 0.02 0.12 "#23" 14.73 1.69 6.52 42.5104 5 0 336.496 4 0 7.15
"2" "Eagles D/ST" "1.88-15.58" 18.59 2.42 1 0.78 0.04 0.18 "#10" 15.58 1.88 6.85 46.9225 5 0 326.668 4 0 7.14
"9" "Ravens D/ST" "2.30-13.22" 22.19 1.9 1.18 0.79 0.04 0.2 "#12" 13.22 2.3 5.46 29.8116 5 0 345.388 4 0 7.12
"15" "Falcons D/ST" "1.98-13.90" 21.44 2.44 1.02 0.7 0.06 0.18 "#31" 13.9 1.98 5.96 35.5216 5 0 341.488 4 0 7.08
"16" "Redskins D/ST" "1.76-15.38" 18.64 2.12 0.98 0.84 0 0.22 "#26" 15.38 1.76 6.81 46.3761 5 0 326.928 4 0 7.08
"7" "Broncos D/ST" "4.04-11.70" 16.19 1.99 0.87 0.51 0.03 0.21 "#31" 11.7 4.04 3.83 14.6689 4 1 314.188 4 0 7.07
"17" "Steelers D/ST" "2.34-13.54" 21.1 2.31 0.88 0.82 0.02 0.22 "#16" 13.54 2.34 5.6 31.36 5 0 339.72 4 0 7.07
"9" "Redskins D/ST" "1.71-13.49" 26.18 2.32 1.06 0.96 0.03 0.27 "#7" 13.49 1.71 5.89 34.6921 5 0 366.136 5 -1 7.04
"3" "Ravens D/ST" "4.17-13.25" 13.94 1.93 0.96 0.39 0.04 0.22 "#17" 13.25 4.17 4.54 20.6116 4 1 302.488 4 0 7.03
