"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"13" "Sebastian Janikowski" "5.04-13.62" 1.78 2.09 3.12 3.12 9.33 "#23" 0 0.31 8.4 13.62 5.04 4.29 18.4041
"14" "Stephen Gostkowski" "5.74-13.06" 1.82 2.14 3.33 3.37 9.4 "#28" 0.04 0.32 8.4 13.06 5.74 3.66 13.3956
"12" "Graham Gano" "4.53-14.25" 1.89 2.21 2.81 2.85 9.39 "#13" 0.04 0.32 8.39 14.25 4.53 4.86 23.6196
"10" "Greg Zuerlein" "5.09-13.95" 1.94 2.31 2.82 2.84 9.52 "#13" 0.02 0.37 8.39 13.95 5.09 4.43 19.6249
"3" "Graham Gano" "4.58-13.80" 1.9 2.16 2.68 2.7 9.19 "#20" 0.02 0.26 8.39 13.8 4.58 4.61 21.2521
"1" "Stephen Gostkowski" "5.52-13.12" 1.8 2.08 3.2 3.31 9.32 "#11" 0.11 0.28 8.37 13.12 5.52 3.8 14.44
"12" "Matt Bryant" "4.13-13.59" 1.82 1.95 2.39 2.5 8.86 "#19" 0.11 0.13 8.36 13.59 4.13 4.73 22.3729
"15" "Wil Lutz" "5.30-12.64" 1.73 1.92 3.1 3.14 8.97 "#25" 0.04 0.19 8.36 12.64 5.3 3.67 13.4689
"3" "Matt Bryant" "4.37-14.39" 1.81 2.14 2.87 2.91 9.38 "#19" 0.04 0.33 8.35 14.39 4.37 5.01 25.1001
"5" "Matt Bryant" "5.52-12.28" 1.73 1.92 2.9 2.9 8.9 "#8" 0 0.19 8.33 12.28 5.52 3.38 11.4244
"9" "Brandon McManus" "4.85-13.15" 1.94 2.17 2.46 2.46 9 "#11" 0 0.23 8.31 13.15 4.85 4.15 17.2225
"3" "Harrison Butker" "5.45-13.07" 1.94 2.26 2.87 2.87 9.26 "#23" 0 0.32 8.3 13.07 5.45 3.81 14.5161
"10" "Mike Badgley" "5.16-12.46" 1.69 1.84 2.99 3.06 8.81 "#30" 0.0699999999999998 0.15 8.29 12.46 5.16 3.65 13.3225
"16" "Brandon McManus" "5.71-12.25" 1.71 1.94 3.23 3.25 8.98 "#30" 0.02 0.23 8.27 12.25 5.71 3.27 10.6929
"1" "Graham Gano" "4.23-13.69" 1.89 2.1 2.42 2.48 8.96 "#12" 0.0600000000000001 0.21 8.27 13.69 4.23 4.73 22.3729
"9" "Brett Maher" "4.56-14.02" 2.02 2.32 2.68 2.82 9.29 "#21" 0.14 0.3 8.25 14.02 4.56 4.73 22.3729
"7" "Stephen Gostkowski" "4.58-13.20" 1.76 1.96 2.87 2.91 8.89 "#5" 0.04 0.2 8.25 13.2 4.58 4.31 18.5761
