"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"2" "Seahawks D/ST" "3.37-15.73" 16.85 3.1 1.16 0.8 0.02 0.14 "#19" 15.73 3.37 6.18 38.1924 4 1 317.62 4 0 8.9
"12" "Bengals D/ST" "3.34-15.80" 21.67 2.45 1.24 0.82 0.02 0.38 "#26" 15.8 3.34 6.23 38.8129 5 0 342.684 4 0 8.89
"16" "Bengals D/ST" "3.34-15.80" 21.67 2.45 1.24 0.82 0.02 0.38 "#26" 15.8 3.34 6.23 38.8129 5 0 342.684 4 0 8.89
"5" "Titans D/ST" "4.77-15.27" 16.84 2.86 0.92 1.06 0.04 0.16 "#32" 15.27 4.77 5.25 27.5625 4 1 317.568 4 0 8.86
"2" "Texans D/ST" "2.99-16.23" 22.84 3.42 1.22 1.08 0.04 0.12 "#28" 16.23 2.99 6.62 43.8244 5 0 348.768 4 0 8.82
"14" "Broncos D/ST" "3.92-15.60" 17.14 2.8 1.02 0.92 0.02 0.18 "#25" 15.6 3.92 5.84 34.1056 4 1 319.128 4 0 8.8
"2" "Broncos D/ST" "2.66-15.96" 21.88 2.86 1.08 0.66 0.06 0.38 "#20" 15.96 2.66 6.65 44.2225 5 0 343.776 4 0 8.74
"11" "Chargers D/ST" "3.56-16.10" 15.49 2.96 1.14 0.54 0.04 0.22 "#12" 16.1 3.56 6.27 39.3129 4 1 310.548 4 0 8.72
"17" "Chargers D/ST" "3.56-16.10" 15.49 2.96 1.14 0.54 0.04 0.22 "#12" 16.1 3.56 6.27 39.3129 4 1 310.548 4 0 8.72
"2" "Chargers D/ST" "1.37-17.85" 19.46 2.77 1.42 0.88 0.09 0.19 "#32" 17.85 1.37 8.24 67.8976 5 0 331.192 4 0 8.69
"13" "Bears D/ST" "3.06-15.36" 16.72 2.3 1.18 0.58 0.08 0.28 "#29" 15.36 3.06 6.15 37.8225 4 1 316.944 4 0 8.66
"2" "Saints D/ST" "3.61-15.35" 17.02 2.27 1.17 0.68 0.02 0.27 "#26" 15.35 3.61 5.87 34.4569 4 1 318.504 4 0 8.63
"14" "Cardinals D/ST" "4.45-16.07" 17.6 2.54 1.12 0.88 0.02 0.34 "#30" 16.07 4.45 5.81 33.7561 5 0 321.52 4 0 8.62
"11" "Cardinals D/ST" "4.99-15.75" 17.84 2.64 1.2 0.94 0.06 0.26 "#20" 15.75 4.99 5.38 28.9444 5 0 322.768 4 0 8.6
"6" "Seahawks D/ST" "4.09-16.07" 18.9 2.5 1.4 0.7 0.04 0.3 "#20" 16.07 4.09 5.99 35.8801 5 0 328.28 4 0 8.58
"3" "Jaguars D/ST" "5.28-14.44" 15.14 2.57 1.17 0.49 0.03 0.27 "#28" 14.44 5.28 4.58 20.9764 4 1 308.728 4 0 8.57
"6" "Ravens D/ST" "4.84-15.28" 14.73 2.62 1.16 0.66 0.04 0.2 "#28" 15.28 4.84 5.22 27.2484 4 1 306.596 4 0 8.54
"8" "Jets D/ST" "3.58-15.70" 16.5 2.6 1.04 1 0.06 0.12 "#19" 15.7 3.58 6.06 36.7236 4 1 315.8 4 0 8.52
"2" "Lions D/ST" "2.72-15.64" 21.36 2.12 1.4 0.68 0.04 0.36 "#25" 15.64 2.72 6.46 41.7316 5 0 341.072 4 0 8.52
"12" "Colts D/ST" "3.12-15.18" 20.8 2.56 1 0.8 0.02 0.38 "#24" 15.18 3.12 6.03 36.3609 5 0 338.16 4 0 8.48
"15" "Bills D/ST" "3.40-15.18" 21.37 2.46 1.02 0.92 0.04 0.34 "#30" 15.18 3.4 5.89 34.6921 5 0 341.124 4 0 8.46
"8" "Texans D/ST" "2.68-16.82" 19.58 2.5 1.02 0.78 0.04 0.38 "#24" 16.82 2.68 7.07 49.9849 5 0 331.816 4 0 8.46
"11" "Panthers D/ST" "3.49-16.17" 19.26 3.15 0.98 0.76 0.06 0.28 "#30" 16.17 3.49 6.34 40.1956 5 0 330.152 4 0 8.43
"8" "Panthers D/ST" "3.02-15.74" 19.85 2.74 1.32 0.58 0.04 0.3 "#14" 15.74 3.02 6.36 40.4496 5 0 333.22 4 0 8.42
"7" "Cardinals D/ST" "4.07-15.85" 18.17 2.73 1.28 1.08 0.06 0.14 "#12" 15.85 4.07 5.89 34.6921 5 0 324.484 4 0 8.41
"6" "Panthers D/ST" "2.29-17.65" 18.06 2.6 1.08 0.9 0.08 0.28 "#15" 17.65 2.29 7.68 58.9824 5 0 323.912 4 0 8.4
"8" "Patriots D/ST" "3.19-16.15" 19.6 2.64 1.26 0.72 0.06 0.28 "#32" 16.15 3.19 6.48 41.9904 5 0 331.92 4 0 8.4
