"Player" "Week" "OwnerWeek" "Pos" "Final" "Slot" "proj" "std" "Var" "OwnerWeekPos"
"Brandin Cooks" "7" "perry-7" "WR-1" "13.1" "" "13.1" 0 0 "perry-7WR-1"
"Brandin Cooks" "8" "perry-8" "WR-1" "--" "" "12.4" 8.3 68.89 "perry-8WR-1"
"C.J. Uzomah" "7" "chad-7" "TE-1" "7.3" "" "7.3" 0 0 "chad-7TE-1"
"C.J. Uzomah" "8" "chad-8" "TE-1" "--" "" "5.35" 4.26 18.1476 "chad-8TE-1"
"Calvin Ridley" "4" "comp-4" "WR/RB" "17.5" "" "17.5" 0 0 "comp-4WR/RB"
"Calvin Ridley" "5" "comp-5" "WR-3" "3.8" "" "3.8" 0 0 "comp-5WR-3"
"Calvin Ridley" "6" "comp-6" "WR-2" "4.7" "" "4.7" 0 0 "comp-6WR-2"
"Calvin Ridley" "7" "comp-7" "WR/RB" "4.3" "" "4.3" 0 0 "comp-7WR/RB"
"Cam Newton" "1" "devon-1" "QB-1" "18.2" "" "18.2" 0 0 "devon-1QB-1"
"Cam Newton" "2" "devon-2" "QB-1" "27.6" "" "27.6" 0 0 "devon-2QB-1"
"Cam Newton" "3" "devon-3" "QB-1" "29.6" "" "29.6" 0 0 "devon-3QB-1"
"Cam Newton" "5" "devon-5" "QB-1" "16.4" "" "16.4" 0 0 "devon-5QB-1"
"Cam Newton" "6" "devon-6" "QB-1" "23.3" "" "23.3" 0 0 "devon-6QB-1"
"Cam Newton" "7" "devon-7" "QB-1" "25.7" "" "25.7" 0 0 "devon-7QB-1"
"Cam Newton" "8" "devon-8" "QB-1" "--" "" "19.66" 8.32 69.2224 "devon-8QB-1"
"Carlos Hyde" "1" "cory-1" "RB-1" "12.5" "" "12.5" 0 0 "cory-1RB-1"
"Carlos Hyde" "2" "cory-2" "RB-1" "11" "" "11" 0 0 "cory-2RB-1"
"Carlos Hyde" "3" "cory-3" "RB-1" "22.3" "" "22.3" 0 0 "cory-3RB-1"
"Carlos Hyde" "4" "cory-4" "RB-1" "14.2" "" "14.2" 0 0 "cory-4RB-1"
"Carlos Hyde" "5" "cory-5" "RB-1" "7.7" "" "7.7" 0 0 "cory-5RB-1"
"Carlos Hyde" "6" "cory-6" "RB-1" "3.4" "" "3.4" 0 0 "cory-6RB-1"
"Carlos Hyde" "8" "cory-8" "WR/RB" "--" "" "8.16" 6.78 45.9684 "cory-8WR/RB"
"Carson Wentz" "3" "perry-3" "QB-1" "11.2" "" "11.2" 0 0 "perry-3QB-1"
"Carson Wentz" "4" "perry-4" "QB-1" "20.7" "" "20.7" 0 0 "perry-4QB-1"
"Carson Wentz" "5" "perry-5" "QB-1" "21" "" "21" 0 0 "perry-5QB-1"
"Carson Wentz" "6" "perry-6" "QB-1" "24.5" "" "24.5" 0 0 "perry-6QB-1"
"Carson Wentz" "7" "perry-7" "QB-1" "18.7" "" "18.7" 0 0 "perry-7QB-1"
"Carson Wentz" "8" "perry-8" "QB-1" "--" "" "15.23" 6.88 47.3344 "perry-8QB-1"
"Chester Rogers" "7" "lucas-7" "WR-3" "4" "" "4" 0 0 "lucas-7WR-3"
"Chester Rogers" "8" "lucas-8" "WR-3" "--" "" "5.11" 3.92 15.3664 "lucas-8WR-3"
"Chris Carson" "5" "lucas-5" "RB-2" "12.7" "" "12.7" 0 0 "lucas-5RB-2"
"Chris Carson" "6" "lucas-6" "RB-2" "5.9" "" "5.9" 0 0 "lucas-6RB-2"
"Chris Hogan" "1" "perry-1" "WR-2" "1.1" "" "1.1" 0 0 "perry-1WR-2"
"Chris Hogan" "2" "perry-2" "WR-2" "16.2" "" "16.2" 0 0 "perry-2WR-2"
"Chris Hogan" "4" "perry-4" "WR/RB" "2.5" "" "2.5" 0 0 "perry-4WR/RB"
"Christian McCaffrey" "1" "devon-1" "RB-2" "7.5" "" "7.5" 0 0 "devon-1RB-2"
"Christian McCaffrey" "2" "devon-2" "RB-2" "13.9" "" "13.9" 0 0 "devon-2RB-2"
"Christian McCaffrey" "3" "devon-3" "RB-1" "19.4" "" "19.4" 0 0 "devon-3RB-1"
"Christian McCaffrey" "5" "devon-5" "RB-1" "15.3" "" "15.3" 0 0 "devon-5RB-1"
"Christian McCaffrey" "6" "devon-6" "RB-1" "6.6" "" "6.6" 0 0 "devon-6RB-1"
"Christian McCaffrey" "7" "devon-7" "RB-1" "8" "" "8" 0 0 "devon-7RB-1"
"Christian McCaffrey" "8" "devon-8" "RB-1" "--" "" "13.5" 6.23 38.8129 "devon-8RB-1"
"Cooper Kupp" "1" "lucas-1" "WR-3" "12.8" "" "12.8" 0 0 "lucas-1WR-3"
"Cooper Kupp" "2" "lucas-2" "WR-2" "6.3" "" "6.3" 0 0 "lucas-2WR-2"
"Cooper Kupp" "3" "lucas-3" "WR-2" "12.8" "" "12.8" 0 0 "lucas-3WR-2"
"Cooper Kupp" "4" "lucas-4" "WR-2" "28.2" "" "28.2" 0 0 "lucas-4WR-2"
"Cooper Kupp" "5" "lucas-5" "WR-1" "15" "" "15" 0 0 "lucas-5WR-1"
"Cooper Kupp" "6" "lucas-6" "WR-2" "1.2" "" "1.2" 0 0 "lucas-6WR-2"
"Corey Clement" "7" "chad-7" "WR/RB" "2.2" "" "2.2" 0 0 "chad-7WR/RB"
"Corey Clement" "8" "chad-8" "WR/RB" "--" "" "6.67" 5.79 33.5241 "chad-8WR/RB"
"Corey Davis" "2" "matty-2" "WR-3" "5.5" "" "5.5" 0 0 "matty-2WR-3"
"Corey Davis" "3" "matty-3" "WR-3" "3.4" "" "3.4" 0 0 "matty-3WR-3"
"Corey Davis" "4" "matty-4" "WR/RB" "22.1" "" "22.1" 0 0 "matty-4WR/RB"
"Corey Davis" "7" "matty-7" "WR-3" "1" "" "1" 0 0 "matty-7WR-3"
"Corey Davis" "8" "matty-8" "WR-3" "--" "BYE" NA NA NA "matty-8WR-3"
"Dalvin Cook" "1" "perry-1" "RB-1" "7.5" "" "7.5" 0 0 "perry-1RB-1"
"Dalvin Cook" "2" "perry-2" "RB-1" "9" "" "9" 0 0 "perry-2RB-1"
"Dalvin Cook" "4" "devon-4" "WR/RB" "2" "" "2" 0 0 "devon-4WR/RB"
"Davante Adams" "1" "perry-1" "WR-1" "14.8" "" "14.8" 0 0 "perry-1WR-1"
"Davante Adams" "2" "perry-2" "WR-1" "12.4" "" "12.4" 0 0 "perry-2WR-1"
"Davante Adams" "3" "perry-3" "WR-1" "11.2" "" "11.2" 0 0 "perry-3WR-1"
"Davante Adams" "4" "perry-4" "WR-1" "8.1" "" "8.1" 0 0 "perry-4WR-1"
"Davante Adams" "5" "perry-5" "WR-1" "20" "" "20" 0 0 "perry-5WR-1"
"Davante Adams" "6" "perry-6" "WR-1" "25.2" "" "25.2" 0 0 "perry-6WR-1"
"David Johnson" "1" "matty-1" "RB-1" "12.7" "" "12.7" 0 0 "matty-1RB-1"
"David Johnson" "2" "matty-2" "RB-1" "5.1" "" "5.1" 0 0 "matty-2RB-1"
"David Johnson" "3" "matty-3" "RB-1" "12.1" "" "12.1" 0 0 "matty-3RB-1"
"David Johnson" "4" "matty-4" "RB-1" "15.2" "" "15.2" 0 0 "matty-4RB-1"
"David Johnson" "5" "matty-5" "RB-1" "19.1" "" "19.1" 0 0 "matty-5RB-1"
