"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Brandon Marshall" "WR" 4.59 6.41 5.46 5.05 3.27 3.93 NA 4.12 4.4 3.17 3.81 3.93 3.78 2.81 3.7 3.95 3.93
"Brandon Weeden" "QB" 0.77 0.73 0.94 0.8 0.87 0.88 0.74 0.88 0.71 NA 0.71 0.87 0.87 0.85 0.76 0.79 0.78
"Brandon Wilds" "RB" NA 0.66 1.64 0.55 0.55 0.63 0.6 0.61 NA 0.57 0.57 0.57 0.61 0.55 0.5 0.55 0.57
"Brett Hundley" "QB" 0.64 0.62 1.01 0.75 0.98 0.88 NA 0.95 0.95 0.93 0.94 0.79 0.92 0.74 0.87 0.96 0.8
"Brian Hill" "RB" NA 0.51 1.51 0.63 0.51 0.56 0.68 NA 0.46 0.51 0.65 0.57 0.58 0.57 0.45 0.44 0.52
"Brian Hoyer" "QB" 0.78 0.58 0.73 0.54 0.87 0.86 0.58 0.75 0.76 0.65 NA 0.56 0.5 0.51 0.73 0.79 0.59
"Brian Quick" "WR" NA 0.81 0.77 NA 0.78 0.83 0.7 0.75 0.79 0.75 0.77 0.68 0.89 0.78 0.77 0.83 0.93
"Brock Osweiler" "QB" 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0
"Bruce Ellington" "WR" 3.18 2.71 3.1 3.03 3.17 2.99 2.49 3.24 2.66 NA 2.44 3.37 3.24 3.11 2.65 2.53 2.56
"Byron Marshall" "WR" 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0.55
"C.J. Anderson" "RB" 5.1 5.74 5.37 NA 5.39 5.67 4.15 5.5 6.45 5.16 5 5.14 5.95 4.9 5.29 5.63 4.9
"C.J. Beathard" "QB" 0.67 0.9 0.86 0.83 0.81 0.86 0.8 0.77 0.9 0.87 NA 0.84 0.74 0.73 0.78 0.75 0.76
"C.J. Ham" "RB" 0.53 0.6 0.55 0.49 0.42 0.58 0.59 0.53 0.66 NA 0.56 0.48 0.57 0.56 0.63 0.61 0.61
"C.J. Prosise" "RB" 1.61 2.16 0 1.23 1.63 1.55 NA 1.39 1.54 1.54 1.6 1.36 1.7 1.33 1.62 1.44 1.29
"C.J. Uzomah" "TE" 0.5 0.33 0.36 0.41 0.46 0.56 0.44 0.52 NA 0.43 0.35 0.51 0.35 0.5 0.41 0.5 0.54
"Calvin Ridley" "WR" 4.15 4.23 3.09 3.43 3.06 4.02 3.26 NA 2.93 4.57 3.22 3.01 4.06 3.42 4.36 4.39 3.88
"Cam Newton" "QB" 19.87 18.22 20.18 NA 21.59 16.92 16.31 17.82 23.32 19.45 20.04 17.9 21.71 19.33 20.29 20.88 18.88
"Cameron Artis-Payne" "RB" 0 2 1.25 NA 1.27 0.98 0.96 0.76 1.36 1.11 1.15 1.09 1.23 1.3 1.24 1.3 1.14
"Cameron Brate" "TE" 4.81 2.42 2.43 1.73 NA 2.18 2.08 2.43 1.94 1.89 2.26 2.39 1.99 2.27 2.46 2.1 2.27
"Cameron Meredith" "WR" 0 0 1.13 1.05 1.04 NA 0.93 0.94 0.97 1.01 0.87 1.22 1.1 1.25 1.01 1.1 1.01
"Carlos Hyde" "RB" 8.59 10.03 11.24 11.61 9.83 12.38 11.41 12.51 14.26 13.82 NA 10.75 10.96 11.87 8.8 11.71 9.11
"Carson Wentz" "QB" 0 0 19.52 20.91 19.15 19.49 21.5 16.6 NA 20.68 18.78 20.77 18.16 19.36 17.27 21.98 17.12
