"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"8" "Justin Tucker" "3.84-13.78" 1.94 2.19 1.94 1.96 8.81 "#21" 0.02 0.25 8.04 13.78 3.84 4.97 24.7009
"1" "Jake Elliott" "5.07-12.49" 1.91 2.13 2.33 2.42 8.78 "#26" 0.0899999999999999 0.22 8.03 12.49 5.07 3.71 13.7641
"13" "Stephen Gostkowski" "4.20-14.22" 1.93 2.3 2.39 2.47 9.21 "#7" 0.0800000000000001 0.37 8.02 14.22 4.2 5.01 25.1001
"16" "Chris Boswell" "5.13-12.55" 1.69 1.95 3.04 3.08 8.84 "#31" 0.04 0.26 8.02 12.55 5.13 3.71 13.7641
"4" "Stephen Gostkowski" "4.57-13.57" 1.85 2.18 2.59 2.65 9.07 "#1" 0.0600000000000001 0.33 8.02 13.57 4.57 4.5 20.25
"17" "Stephen Gostkowski" "4.43-13.73" 1.79 2.12 2.75 2.82 9.08 "#2" 0.0699999999999998 0.33 8.02 13.73 4.43 4.65 21.6225
"10" "Robbie Gould" "3.95-13.31" 1.81 2.01 2.41 2.43 8.63 "#14" 0.02 0.2 8.01 13.31 3.95 4.68 21.9024
"3" "Robbie Gould" "3.48-14.02" 1.75 1.98 2.61 2.66 8.75 "#32" 0.0500000000000003 0.23 8.01 14.02 3.48 5.27 27.7729
"8" "Chris Boswell" "5.06-12.66" 1.68 1.95 3.17 3.21 8.86 "#5" 0.04 0.27 8.01 12.66 5.06 3.8 14.44
"15" "Caleb Sturgis" "4.77-12.11" 1.48 1.62 3.36 3.38 8.44 "#32" 0.02 0.14 8 12.11 4.77 3.67 13.4689
"1" "Chris Boswell" "4.84-12.52" 1.78 1.98 2.57 2.66 8.68 "#5" 0.0900000000000003 0.2 7.99 12.52 4.84 3.84 14.7456
"16" "Matt Bryant" "4.56-12.80" 1.78 2.01 2.39 2.39 8.68 "#21" 0 0.23 7.99 12.8 4.56 4.12 16.9744
"13" "Mike Nugent" "3.49-14.03" 1.87 2.13 2.28 2.28 8.76 "#32" 0 0.26 7.98 14.03 3.49 5.27 27.7729
"16" "Harrison Butker" "4.25-13.33" 1.83 2.08 2.41 2.47 8.79 "#12" 0.0600000000000001 0.25 7.98 13.33 4.25 4.54 20.6116
"15" "Stephen Gostkowski" "4.08-13.64" 1.81 2.08 2.61 2.7 8.86 "#24" 0.0900000000000003 0.27 7.96 13.64 4.08 4.78 22.8484
"17" "Matt Bryant" "5.06-12.40" 1.63 1.87 3.17 3.23 8.73 "#27" 0.0600000000000001 0.24 7.95 12.4 5.06 3.67 13.4689
"10" "Jake Elliott" "5.08-12.32" 1.69 1.93 3.06 3.1 8.7 "#9" 0.04 0.24 7.94 12.32 5.08 3.62 13.1044
"11" "Wil Lutz" "4.05-12.97" 1.63 1.79 3 3.09 8.51 "#15" 0.0899999999999999 0.16 7.94 12.97 4.05 4.46 19.8916
"13" "Sebastian Janikowski" "4.94-13.12" 1.87 2.2 2.69 2.8 9.03 "#19" 0.11 0.33 7.93 13.12 4.94 4.09 16.7281
"17" "Ryan Succop" "3.64-14.00" 1.95 2.24 1.99 2.03 8.82 "#13" 0.0399999999999998 0.29 7.91 14 3.64 5.18 26.8324
"11" "Matt Bryant" "4.18-13.30" 1.62 1.89 2.88 2.92 8.74 "#9" 0.04 0.27 7.89 13.3 4.18 4.56 20.7936
"15" "Wil Lutz" "4.01-12.95" 1.68 1.86 2.72 2.78 8.48 "#21" 0.0599999999999996 0.18 7.88 12.95 4.01 4.47 19.9809
"11" "Sam Ficken" "5.29-12.19" 1.54 1.81 3.48 3.54 8.74 "#32" 0.0600000000000001 0.27 7.87 12.19 5.29 3.45 11.9025
"8" "Stephen Gostkowski" "4.18-12.98" 1.65 1.86 2.84 2.92 8.58 "#28" 0.0800000000000001 0.21 7.87 12.98 4.18 4.4 19.36
"1" "Robbie Gould" "3.62-13.50" 1.84 2.06 1.96 2 8.56 "#7" 0.04 0.22 7.86 13.5 3.62 4.94 24.4036
"3" "Cody Parkey" "4.07-13.89" 2.04 2.42 1.57 1.57 8.98 "#30" 0 0.38 7.84 13.89 4.07 4.91 24.1081
"16" "Jake Elliott" "5.11-12.53" 1.69 1.99 3.21 3.29 8.82 "#20" 0.0800000000000001 0.3 7.84 12.53 5.11 3.71 13.7641
"10" "Matt Bryant" "4.44-12.60" 1.73 1.94 2.47 2.53 8.52 "#5" 0.0599999999999996 0.21 7.83 12.6 4.44 4.08 16.6464
"8" "Randy Bullock" "3.71-13.53" 1.61 1.85 2.87 2.94 8.62 "#27" 0.0699999999999998 0.24 7.83 13.53 3.71 4.91 24.1081
"8" "Harrison Butker" "3.90-13.76" 1.87 2.19 2.12 2.18 8.83 "#16" 0.0600000000000001 0.32 7.81 13.76 3.9 4.93 24.3049
"1" "Matt Bryant" "5.05-11.89" 1.74 1.96 2.34 2.34 8.47 "#15" 0 0.22 7.81 11.89 5.05 3.42 11.6964
"9" "Wil Lutz" "3.98-13.24" 1.72 1.96 2.78 2.86 8.61 "#3" 0.0800000000000001 0.24 7.81 13.24 3.98 4.63 21.4369
"13" "Chandler Catanzaro" "4.47-12.95" 1.91 2.2 2.35 2.39 8.71 "#21" 0.04 0.29 7.8 12.95 4.47 4.24 17.9776
"10" "Harrison Butker" "4.23-13.43" 1.75 2.08 2.55 2.59 8.83 "#30" 0.04 0.33 7.8 13.43 4.23 4.6 21.16
"2" "Josh Lambo" "4.40-12.88" 1.79 2.06 2.46 2.5 8.64 "#18" 0.04 0.27 7.79 12.88 4.4 4.24 17.9776
"10" "Randy Bullock" "4.02-13.44" 1.89 2.19 2.06 2.1 8.73 "#31" 0.04 0.3 7.79 13.44 4.02 4.71 22.1841
"5" "Stephen Hauschka" "4.01-13.33" 1.94 2.22 1.97 2.01 8.67 "#17" 0.0399999999999998 0.28 7.79 13.33 4.01 4.66 21.7156
"5" "Randy Bullock" "3.62-13.32" 1.85 2.08 1.92 1.92 8.47 "#1" 0 0.23 7.78 13.32 3.62 4.85 23.5225
"17" "Harrison Butker" "4.40-12.86" 1.46 1.73 3.62 3.66 8.63 "#29" 0.04 0.27 7.78 12.86 4.4 4.23 17.8929
"3" "Chris Boswell" "5.23-12.31" 1.78 2.08 2.6 2.69 8.77 "#27" 0.0899999999999999 0.3 7.78 12.31 5.23 3.54 12.5316
"7" "Harrison Butker" "4.03-13.81" 1.79 2.14 2.66 2.76 8.92 "#11" 0.0999999999999996 0.35 7.77 13.81 4.03 4.89 23.9121
"6" "Ka'imi Fairbairn" "4.45-12.19" 1.73 1.91 2.28 2.3 8.32 "#28" 0.02 0.18 7.76 12.19 4.45 3.87 14.9769
"17" "Graham Gano" "4.04-12.72" 1.71 1.92 2.37 2.37 8.38 "#31" 0 0.21 7.75 12.72 4.04 4.34 18.8356
"17" "Sam Ficken" "4.91-12.45" 1.52 1.81 3.41 3.47 8.68 "#19" 0.0600000000000001 0.29 7.75 12.45 4.91 3.77 14.2129
"16" "Adam Vinatieri" "4.79-12.89" 1.97 2.33 1.97 1.99 8.84 "#14" 0.02 0.36 7.74 12.89 4.79 4.05 16.4025
"14" "Justin Tucker" "4.65-12.21" 1.65 1.88 2.82 2.84 8.43 "#32" 0.02 0.23 7.72 12.21 4.65 3.78 14.2884
"2" "Stephen Gostkowski" "4.40-13.14" 1.86 2.19 2.27 2.33 8.77 "#8" 0.0600000000000001 0.33 7.72 13.14 4.4 4.37 19.0969
"9" "Graham Gano" "4.48-12.70" 1.63 1.9 3.02 3.09 8.59 "#27" 0.0699999999999998 0.27 7.71 12.7 4.48 4.11 16.8921
"10" "Graham Gano" "4.48-12.60" 1.75 2.02 2.31 2.33 8.54 "#24" 0.02 0.27 7.71 12.6 4.48 4.06 16.4836
"4" "Justin Tucker" "3.11-13.61" 1.69 1.89 2.51 2.56 8.36 "#24" 0.0500000000000003 0.2 7.71 13.61 3.11 5.25 27.5625
"6" "Jake Elliott" "4.92-11.84" 1.65 1.87 2.79 2.81 8.38 "#14" 0.02 0.22 7.7 11.84 4.92 3.46 11.9716
"11" "Sebastian Janikowski" "4.69-13.01" 1.83 2.18 2.64 2.74 8.85 "#23" 0.1 0.35 7.7 13.01 4.69 4.16 17.3056
"5" "Graham Gano" "4.11-12.81" 1.68 1.93 2.57 2.59 8.46 "#14" 0.02 0.25 7.69 12.81 4.11 4.35 18.9225
